@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

a-b,1,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,144,15,15,0,0,100,0,0,1,0.017962,0.069567,3.602282,13.939798,14.958967,0.452907,14.50606,0.997264,0.030194,0.967071,14.50606,0.967071,1452.37585,1,8,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.018,0.001,0.02,0,20,0,7676,14772,2775,100,53.333333,?,?,?
a-b,2,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.003665,0.01466,0.736188,2.943015,15.914196,0.087183,15.827013,0.994637,0.005449,0.989188,15.827013,0.989188,1584.060232,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.036,0.001,0.03,0,30,0,7676,14679,2868,100,53.125,?,?,?
a-b,2,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0,0,0,15.914196,0,15.914196,0.994637,0,0.994637,15.914196,0.994637,1592.786056,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,2,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000001,0.000004,0.000206,0.000825,15.914196,0.000024,15.914172,0.994637,0.000001,0.994636,15.914172,0.994636,1592.783681,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.014,0,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,2,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.028345,0.113371,5.669038,22.647853,16.02693,0.871721,15.155208,1.001683,0.054483,0.947201,15.155208,0.947201,1518.073927,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.015,0,0.02,0,20,0,7676,14679,2868,100,53.125,?,?,?
a-b,2,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,14,2,0,87.5,12.5,0,0.75,0.116132,0.319797,23.226436,63.885014,16.02693,36.523865,-20.496935,1.001683,2.282742,-1.281058,12.257076,0.766067,1227.772429,1,8,0.25,2,0.75,6,0,0,0.8,1,0.888889,0.774597,0.96875,0.970486,0.875,0.125,0.875,0.125,0.9,0.875,0.873016,0.774597,0.96875,0.972743,0.873016,0.875,0.009,0.001,0.01,0,10,0,7676,14679,2868,93.75,56.25,?,?,?
a-b,2,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0,0,0,16.02693,0,16.02693,1.001683,0,1.001683,16.02693,1.001683,1605.392912,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,2,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.033806,0.132055,6.76125,26.38035,16.02693,1.101978,14.924952,1.001683,0.068874,0.932809,14.926138,0.932884,1495.128335,1,8,0.125,1,0.875,7,0,0,0.888889,1,0.941176,0.881917,1,1,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,1,1,0.937255,0.9375,0.008,0.001,0.01,0,10,0,7676,14679,2868,100,53.125,?,?,?
a-b,2,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000016,0.000048,0.003284,0.009541,16.02693,0.000379,16.026551,1.001683,0.000024,1.001659,16.026551,1.001659,1605.354941,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,2,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000489,0.001934,0.097721,0.386443,16.02693,0.011322,16.015608,1.001683,0.000708,1.000975,16.015608,1.000975,1604.258816,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.008,0,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,2,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,144,15,12,3,0,80,20,0,0.608696,0.184513,0.410745,37.003927,82.305138,14.958967,48.362463,-33.403496,0.997264,3.224164,-2.2269,9.351519,0.623435,936.292903,0.625,5,0,0,1,7,0.375,3,1,0.625,0.769231,0.661438,0.982143,0.986111,0.8,0.175,0.825,0.2,0.86,0.8,0.79457,0.661438,0.982143,0.984259,0.79638,0.8,0.009,0,0.01,0,10,0,7676,14772,2775,86.666667,53.333333,?,?,?
a-b,3,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.001273,0.005001,0.255785,1.003862,15.914196,0.029687,15.884509,0.994637,0.001855,0.992782,15.884509,0.992782,1589.814823,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.007,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,3,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000109,0.000365,0.021946,0.07332,15.914196,0.002523,15.911673,0.994637,0.000158,0.99448,15.911673,0.99448,1592.53349,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,3,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0,0.000001,0.000006,15.914196,0,15.914196,0.994637,0,0.994637,15.914196,0.994637,1592.786039,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
a-b,3,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.062445,0.249779,12.489011,49.897698,16.02693,10.143968,5.882962,1.001683,0.633998,0.367685,14.024832,0.876552,1404.845895,1,8,0.125,1,0.875,7,0,0,0.888889,1,0.941176,0.881917,1,1,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,1,1,0.937255,0.9375,0.011,0,0.01,0,10,0,7676,14679,2868,93.75,50,?,?,?
a-b,3,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.066452,0.250428,13.290401,50.027308,16.02693,25.813909,-9.786979,1.001683,1.613369,-0.611686,13.929768,0.87061,1395.323439,0.875,7,0,0,1,8,0.125,1,1,0.875,0.933333,0.881917,0.96875,0.975,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,0.96875,0.972743,0.937255,0.9375,0.01,0,0.01,0,10,0,7676,14679,2868,93.75,53.125,?,?,?
a-b,3,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.001281,0.003564,0.256127,0.712031,16.02693,0.029709,15.997221,1.001683,0.001857,0.999826,15.997221,0.999826,1602.417032,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.008,0,0,0,0,0,7676,14679,2868,100,50,?,?,?
a-b,3,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.071161,0.252389,14.232261,50.419115,16.02693,38.720152,-22.693222,1.001683,2.420009,-1.418326,13.808351,0.863022,1383.161261,1,8,0.125,1,0.875,7,0,0,0.888889,1,0.941176,0.881917,0.984375,0.986111,0.9375,0.0625,0.9375,0.0625,0.944444,0.9375,0.937255,0.881917,0.984375,0.986111,0.937255,0.9375,0.01,0.001,0.01,0,10,0,7676,14679,2868,93.75,53.125,?,?,?
a-b,3,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.00015,0.000598,0.029918,0.119381,16.02693,0.003457,16.023473,1.001683,0.000216,1.001467,16.023473,1.001467,1605.046617,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0.001,0.01,0,10,0,7676,14679,2868,100,50,?,?,?
